region,clinic_visit_week,lag_start,lag_end,rainfall_lagged_mm
Mara,2022-03-19,2022-02-05,2022-03-05,190.45
Mara,2022-03-26,2022-02-12,2022-03-12,140.12
Mara,2022-04-02,2022-02-19,2022-03-19,91.51
Mara,2022-04-09,2022-02-26,2022-03-26,59.96
Mara,2022-04-16,2022-03-05,2022-04-02,91.21
Mara,2022-04-23,2022-03-12,2022-04-09,111.19
Mara,2022-04-30,2022-03-19,2022-04-16,111.95
Mara,2022-05-07,2022-03-26,2022-04-23,170.49
Mara,2022-05-14,2022-04-02,2022-04-30,211.48
Mara,2022-05-21,2022-04-09,2022-05-07,241.22
Mara,2022-05-28,2022-04-16,2022-05-14,262.54
Mara,2022-06-04,2022-04-23,2022-05-21,184.93
Mara,2022-06-11,2022-04-30,2022-05-28,150.41
Mara,2022-06-18,2022-05-07,2022-06-04,139.73
Mara,2022-06-25,2022-05-14,2022-06-11,115.59
Mara,2022-07-02,2022-05-21,2022-06-18,125.02
Mara,2022-07-09,2022-05-28,2022-06-25,83.45
Mara,2022-07-16,2022-06-04,2022-07-02,36.85
Mara,2022-07-23,2022-06-11,2022-07-09,24.65
Mara,2022-07-30,2022-06-18,2022-07-16,11.27
Mara,2022-08-06,2022-06-25,2022-07-23,5.03
Mara,2022-08-13,2022-07-02,2022-07-30,4.62
Mara,2022-08-20,2022-07-09,2022-08-06,27.08
Mara,2022-08-27,2022-07-16,2022-08-13,25.99
Mara,2022-09-03,2022-07-23,2022-08-20,49.15
Mara,2022-09-10,2022-07-30,2022-08-27,49.05
Mara,2022-09-17,2022-08-06,2022-09-03,74.62
Mara,2022-09-24,2022-08-13,2022-09-10,102.39
Mara,2022-10-01,2022-08-20,2022-09-17,105.66
Mara,2022-10-08,2022-08-27,2022-09-24,124.71
Mara,2022-10-15,2022-09-03,2022-10-01,94.65
Mara,2022-10-22,2022-09-10,2022-10-08,78.75
Mara,2022-10-29,2022-09-17,2022-10-15,53.52
Mara,2022-11-05,2022-09-24,2022-10-22,62.24
Mara,2022-11-12,2022-10-01,2022-10-29,44.82
Mara,2022-11-19,2022-10-08,2022-11-05,65.89
Mara,2022-11-26,2022-10-15,2022-11-12,99.87
Mara,2022-12-03,2022-10-22,2022-11-19,138.0
Mara,2022-12-10,2022-10-29,2022-11-26,181.26
Mara,2022-12-17,2022-11-05,2022-12-03,179.82
Mara,2022-12-24,2022-11-12,2022-12-10,159.18
Mara,2022-12-31,2022-11-19,2022-12-17,133.12
Mara,2023-01-07,2022-11-26,2022-12-24,116.44
Mara,2023-01-14,2022-12-03,2022-12-31,141.43
Mara,2023-01-21,2022-12-10,2023-01-07,126.96
